"Anfangsbuchstabe","Title","Begriff","Hinweis","Link"
"A","AGB","Allgemeine Geschäftsbedingungen",,
"A","AGC","Automatic Gain Control","Automatische Verstärkerregelung",
"A","AGM","Absorbent-Glas-Mat","Batterie mit saugendem Glasmatten-Vlies",
"A","AGR","Abgasrückführung",,
"A","AGS","Active Grill Shutter",,
"A","AGT","Aggregateträger",,
"A","AGV","Abgasvorschrift",,
"A","AHK","Anhängerkupplung",,
"A","AHZV","Anhängerzugvorrichtung",,
"A","AIA","Auto-Initiiertes Ausweichen",,
"A","AIS","Antriebsinformationssystem",,
"A","AIX","Advanced Interactive Executive","Unix-Betriebssystem der Firma IBM",
"A","AK","Aktivitätenschlüssel",,
"A","AK","Arbeitskreis",,
"A","ÄK","Änderungskosten",,
"A","AKE","Arbeitskreis Elektronik",,
"A","AKF","Aktivkohlefilter",,
"A","AKH","Arbeitskreis Händlerbeirat",,
"A","AKL","Automatisches Kleinteilelager",,
"A","ÄKO","Änderungskommission",,
"A","ÄKO","Änderungskosten",,
"A","ÄKO/AEKO","ÄnderungsKOntrolle bis 3 Monate nach SOP",,
,"AKS","aktiver Kurzschluss",,
"A","AKS","Aktiver Kurzschluss",,
"A","AKS","aktiver Kurzschluss","wird von der Motorleistungselektronik erzeugt, falls das E-Fahrzeug im ausgeschalteten Zustand zu schnell geschoben/gezogen wird",
"A","AKV","Aufgaben, Kompetenzen, Verantwortlichkeiten",,
"A","AKZ","Aktivkennzeichen","(A=Aktiv; I=Inaktiv)",
"A","AL","Abteilungsleiter",,
"A","AL","Abblendlicht",,
"A","AL","Anlieferplatz",,
"A","ALB","Autom. lastabhängige Bremskraftverteilung",,
"A","ALKK","Abteilungsleiter-Konvergenz-Kreis",,
"A","AL-Knetwerkstoff","Aluminium-Knetwerkstoff",,
"A","ALM","Application LifeCycle Management","Es gibt noch KPM-Web",
"A","ALR","Autom. Lautstärkeregelung",,
"A","ALS","Achse-Lenkungsprüfstand",,
"A","ALT","Achslasttabelle",,
"A","ALV","SAP List Viewer",,
"A","ALWR","Automatische Leuchtweitenregelung",,
"A","AM","Auftragsmanagement",,
"A","AM","Amplitudenmodulation",,
"A","AM","After Market",,
"A","AM","Applikationsmanagement",,
"A","AM","Ante Meridiem",,
"A","ÄM","Änderungsmanagement",,
"A","AMN","Außenmeisterbock",,
"A","AMS","Antriebsmanagementsystem",,
"A","AN","Auftragnehmer",,
"A","AN","Artikelnummer",,
"A","AN","Aktennotiz",,
"A","ANB","Autonome Notbremse",,
"A","ANSA","CAE-Preprozessor",,
"A","ANSI","American National Standards Institute",,
"A","ANÜ","Arbeitnehmerüberlassung",,
"A","ANV","Axiale Nockenwellen Verstellung",,
"A","AOP","Automotive Online Platform",,
"A","AP","Arbeitspapier",,
"A","APEAL","Automotive Performance, Execution and Layout Study",,
"A","APK","Arbeitspositionskatalog",,
"A","APL","Anlieferplatz",,
"A","APN","AccessPoint Name (SIM Karte)",,
"A","APO","Zentrales und integratives Planungstool",,
"A","APOS","Arbeitspositions-Katalog",,
"A","APQP","Advanced Product Quality Planning",,
"A","AQ","Ausstattungsquote",,
"A","AQS","Air Quality Sensor","Luftgütesensor",
"A","AQSIS","State General Administration of Quality Supervision, Inspection and Quarantine of the P.R.China",,
"A","AR","Aufsichtsrat",,
"A","AR","Abgasrückführung",,
"A","AR","Augmented Realitiy","Erweiterete Realität. Realität wird um digitale/ virtuelle Inhalte erweitert",
"A","ARG","Arbeitsgruppe",,
"A","ARI","Autofahrer Rundfunk Information",,
"A","ARU","Audi Remote Update",,
"A","ARV","Aufsichtsratsvorsitzender",,
"A","AS","After Sales",,
"A","AS","Applikationssupport",,
"A","AS","Abgabestand",,
"A","ÄS","Änderungsstopp",,
"A","ÄS","Änderungsstand",,
"A","ASA","Automobil Service Ausrüstung",,
"A","ASAM","Association for Standardisation of Auotmation an Measuring Systems",,
"A","asap","as soon as possible",,
"A","ASC","After Sales Strategic Council",,
"A","ASCET","Entwicklungstool der Fa. ETAS",,
"A","ASD","Autom. Sperrdifferential",,
"A","ASE","Automotive Services Europe",,
"A","ASIC","application-specific integrated circuit","Anwendungsspezifische integrierte Schaltung, z.B. für Temperatursonden",
"A","ASIL","Automotive Safety Integrity Level","ASIL ist ein Risikoklassifizierungsschema, das in der Norm ISO 26262 - Funktionale Sicherheit für Straßenfahrzeuge definiert ist. Dies ist eine Anpassung des in der IEC 61508 verwendeten Sicherheitsintegritätsniveaus für die Automobilindustrie",
"A","ASL","Available Service List",,
"A","aSLT","automatisierter Sonderladungsträger",,
"A","ASM","AfterSales Manual",,
"A","ASÖ","Abschleppöse",,
"A","A-SPICE","automotive - Software Process Improvement and Capability Determination",,
"A","ASR","Antriebs-Schlupfregelung",,
"A","ASSEP","Antriebs-Steuergeräte-Software-Entwicklungs-Prozess",,
"A","ASU","Abgassonderuntersuchung",,
"A","ASW","Audi Shopping World",,
"A","AT","Austausch(teil)",,
"A","ÄT","Anderungstäfel im FSI",,
"A","A-Team","Funktion in der ÄKO-Phase: Das A-Team nimmt die Verantwortlichkeit für die Verteilung und Genehmigung von ÄKOS während des Vorserien- und Serienprozess wahr.	",,
"A","ATEAMxx","AEKO-Team im Werk xx (AEKO-Geschaeftsstellen im Produnktmanagement)",,
"A","ATEEL","Allied Technology Experts Enterprise of Luxemburg",,
"A","A-Teil","wichtiges / hochwertiges / umsatzstarkes Teil, hohes Produktions- und Beschaffungsrisiko",,
"A","ATF","Automatic Transmission Fluid",,
"A","AtK","Projekt ""Ausbau technische Konformität""",,
"A","ATL","Abgasturbolader",,
"A","ATN","Aktiver Teilnehmer","Personalisierung",
"A","ATS","Abgastemperatursensor",,
"A","ATZ","Altersteilzeit",,
"A","AU","Arbeitsunterweisung",,
"A","AUS","Auslauftermin eines Fahrzeugstruktur-Objekts",,
"A","AUV","Automobil Umwelt Verträglichkeit",,
"A","AV","Anlagevermögen",,
"A","AV","Arbeitsvorbereitung",,
"A","AVG","Auslauf Vorgabe (Datum)",,
"A","AVON","Änderungsverfolgung Online. Informationssystem zur Unterstützung des Änderungsmanagements bei Porsche	",,
"A","AVON","Antragsverwaltung-Online",,
"A","AVONgrafisch","Projekt zum Umbau von AVON 3270 auf AVON 2.0",,
"A","AVS","Audi valvelift system",,
"A","AVV","Abfall-Verzeichnis-Verordnung",,
"A","AVV","Auftragsverarbeitungsvertrag/-vereinbarung",,
"A","A-VW","Anforderungsmanagement - Volkswagen",,
"A","AW","Anwendungsfall",,
"A","AWA","Ausweichassistent",,
"A","AWC","Automatic Wireless Charging",,
"A","AWD","All Wheel Drive",,
"A","AWE","Abweicherlaubnis",,
"A","AWS","Advanced Weight Sensor",,
"A","AWS","Aktive Wank-Stabilisierung","PDCC",
"A","AWV","Anhaltewegverkürzung",,
"A","AWZ","Abfallwirtschaftszentrum",,
"A","AZ","Anzahlung",,
"A","AZ","Arbeitszeiten",,
"A","AZEF","Arbeitszeiterfassung",,
"A","A-Zeit","Auslastungs-Zeit",,
"A","AZRW","Arbeitszeitrichtwert",,
"A","AZSN","Arbeitszeiten u. Schadensnummern",,
"A","AZSNK","Arbeitszeiten u. Schadensnummern Katalog",,
"A","AZT","Allianz Zentrum für Technik","Standartisierte Tests für Kasko-Einstufung",
"B","B","Beschaffung",,"/sites/CarreraOnline_PAG_B-Uebersichtsbereich"
"B","b.i.O.","bedingt in Ordnung",,
"B","B2B","Business-to-Business Beziehung",,
"B","BA","Bauabweichung",,
"B","BA","Bezugsart",,
"B","BA","Betriebsanleitung",,
"B","BAB","Bundesautobahn",,
"B","BAL","Betriebsanleitung",,
"B","BAM","Bundesanstalt für Materialprüfung",,
"B","BANF","Bedarfsanforderung",,
"B","BAP","Bedien- und Anzeige Protokoll",,
"B","BASt","Bundesanstalt für Straßenwesen",,
"B","BBB","Bau Basis Budget",,
"B","BBKP","Baubarkeitsprüfung",,
"B","BBP","Bebauungsplan",,
"B","BC","Boundary Conditions",,
"B","BC","Bordcomputer",,
"B","B-Call","Breakdown Call",,
"B","BCM","Body Control Management",,
"B","BCM","Business Continuity Management",,
"B","BDAT","Benutzerdatenverwaltungssystem",,
"B","BDE","Benzin Direkt Einspritzung",,
"B","BDSG","Bundesdatenschutzgesetz",,
"B","BE","Betriebsergebnis vor Steuern in Prozent bezogen auf die Erlöse","Umsatzrendite",
"B","BEG","Beteiligungsgesellschaft",,
"B","BEM","Battery Energy Manager",,
"B","BEMI","Betriebsmittel",,
"B","BEN","Benennung",,
"B","BEON","Bemusterung Online",,
"B","BES","Base Emission Strategy",,
"B","BEV","Battery Electric Vehicle",,
"B","BF","Betriebsfestigkeit",,
"B","BF","Beschaffungsfreigabe",,
"B","BFA","Beifahrer Airbag",,
"B","B-Freigabe","Beschaffungsfreigabe",,
"B","B-Freigabe","Freigabe zur Werkzeugerstellung",,
"B","BG","Berufsgenossenschaft",,
"B","BG","Bruttogewinn",,
"B","BGB","Bürgerliches Gesetzbuch",,
"B","BGBI","Bundesgesetzblatt",,
"B","BGF","Bruttogeschossfläche",,
"B","BGH","Bundesgerichtshof",,
"B","BGHM","Berufsgenossenschaft Holz und Metall",,
"B","BHE","Blindheitserkennung",,
"B","BHP","Brake Horse Power",,
"B","BI","Business Intelligence",,
"B","BIC","Best in Class",,
"B","BIC","Business-Intelligence-Center",,
"B","Big Data","Big Data","digitale Sammlung von Daten",
"B","BImSchG","Bundes-Immissionsschutzgesetz","LINK FOLGT",
"B","BIP","Bruttoinlandsprodukt",,
"B","BJB","Battery Junction Box",,
"B","BK","Betriebskosten",,
"B","BK","Bürokommunikation",,
"B","BKE","Bedien- und Klimaregeleinheit",,
"B","BKM","Bedarfs- und Kapazitätsmanagement",,
"B","BK-Rechner","Rechner am Bürokommunikationsnetz der PAG",,
"B","BKRM","Baukastenreferenzmodell",,
"B","BK-User","Benutzername für die Anmeldung am BK-Rechner (Windows)",,
"B","BKV","Bremskraftverstärker",,
"B","BL","Bruttolager",,
"B","BL","Business Logic",,
"B","BLDC","bürstenloser Gleichstrommotor",,
"B","BM","Behältermanagement",,
"B","BMCe","Batterie Management Controller Extended",,
"B","BMG","BauMusterGenehmigung",,
"B","BMS","Battery Management System",,
,"B-Muster","Grundmuster mit hohem Reifegrad eines Teils","funktionsfähiges Muster",
"B","BMV","Bundesministerium für Verkehr",,
"B","BNK","Beschaffungsnebenkosten",,
"B","BNM","Blindnietmutter",,
"B","BO","BusinessObjects","Auswertungssystem für AVON",
"B","BOB","Bedarfsorientierte Bereitstellung",,
"B","BoD","Board of Directors",,
"B","bP","beauftragte Person Gefahrgut","LINK FOLGT",
"B","BPM","Business Process Management bzw. Baureihenplattformteam",,
"B","BPOT","Battery Product Owner Team",,
"B","BQ","Buchungsqualität",,
"B","BR","Baureihe",,
"B","BR","Betriebsrat","LINK FOLGT",
"B","BRA","Baureihen Ausschuss Sitzung",,
"B","BRL","Baureihenleiter",,
"B","BRW","Betriebsrat Weissach",,
"B","BRZ","Betriebsrat Zuffenhausen",,
"B","BSA","Betriebsschwingungsanalyse",,
"B","BSC","Balanced Scorecard",,
"B","BSG","Batterieschutzgehäuse",,
"B","BSM","Besondere Merkmale",,
"B","BSP","Business Service Platform",,
"B","BST","Baustufe",,
"B","BT","Bauteil",,
"B","B-Teil","mittelwichtiges / mittelwertiges Teil mit mittlerer Umsatzstärke; s.a. A-Teile bzw. C-Teile",,
"B","B-Teil","mittelwichtiges / mittelwertiges Teil mit mitllerer Umsatzstärke",,
"B","BTG","Bundesverband des deutschen Tankstellen- u. Garagengew.	",,
"B","BTLH","Bauteil-Lastenheft",,
"B","BTV","Bauteilverantwortlicher",,
"B","Btyp","Bestelltyp",,
"B","BTZ","Bauteilzertifizierung",,
"B","BTZ","Bauteilzertifizierung China",,
"B","BU","Betriebsurlaub",,
"B","BU","Budget",,
"B","BuHa","Buchhaltung",,
"B","BÜMK","Baureihenübergreifende Montagekonzepte",,
"B","BUS","Bundesamt für Umweltschutz",,
"B","BV","Basisvariante (ODX) englisch: BASE-VARIANT Diagnose Layer für die Gerätefamilie (z.B. Türsteuergeräte)	",,
"B","BV","Bereitstellverfahren",,
"B","BV","Betriebsversammlung",,
"B","BVS","Berichts-Verwaltungs-System",,
"B","BVS","Bildverarbeitungssteuergerät",,
"B","BVW","Betriebliches Vorschlagswesen",,
"B","Bx..","Abteilung in der Baureihe",,
"B","BZD","Bauzustandsdokumentation",,
"C","C@P ","CRM@Porsche","LINKS ABKÜRZ. + BEGRIFF FOLGEN",
"C","C2O","Contact-to-Order ","E2E-Prozess: vom Kundenkontakt bis zum Kundenauftrag ",
"C","CAA","Clean Air Act",,
"C","CAB","Change Advisory Board","LINK FOLGT",
"C","CAB","Curtainairbag",,
"C","CA-Bereich","Communications-Area",,
"C","CAD","Computer-Aided Design",,
"C","CAE","Computer-Aided Engineering",,
"C","CAFC","Corporate Average Fleet Consumption",,
"C","CAFE","Corporate Average Fuel Economy (Gas Guzzler Steuer)	",,
"C","CAFM","Computer Aided Facility Management",,
"C","CAI","Certificate Based Authentication",,
"C","CAM","Computer-Aided Manufacturing",,
"C","CAMPUS","Datenbank für Kunststoffe",,
"C","CAN","Controller Area Network (Automotive Bus)	",,
"C","CAP","Computer Aided Production",,
"C","CAP 2000","Compliance Assurance Programm (Abgasmessung im Feld beim Kunden)",,
"C","CAPMS","Criteria Air Pollutant Modeling System",,
"C","CAQ","Computer Aided Quality System",,
"C","Car Top Systems","CTS",,
"C","CARB","California Air Resources Board",,
"C","CAS","Computer Aided Styling",,
,"CATIA","Computer Aided Three-Dimensional Interactive Application","LINK FOLGT",
"C","CAx","Computer Aided (x=Platzhalter für div. Disziplinen, z.B. ""D"" für Design)","LINK FOLGT",
"C","CBC","Combined-Booster-Converter",,
"C","CBC","Combined Booster Converter",,
"C","CBD","Cost Brakedown",,
"C","CBT","Computer Based Training",,
"C","CC","Cost Center",,
"C","CCB","Change-Control-Board",,
"C","CCC","China Compulsory Certification",,
"C","CCNS","Channel Client Notification Framework","Zur Notifizierung von Channelclients (E-Mail, iPhone, SMS)",
"C","CCP","Can Calibration Protocol",,
"C","CCSS","Call Center Shared Service",,
"C","CCW","Counterclockwise",,
"C","CD","Compact Disk",,
"C","CDC","Continuos Damping Control",,
"C","CEDMS","CAx Ergebnis Daten Management System",,
"C","CEMT","Europäische Konferenz der Verkehrsminister",,
"C","CEN","Comité Européen de Normalisation",,
"C","CENELEC","Comité Européen de Normalisation Electrotechnique	",,
"C","CEO","Chief Executive Officer",,
"C","CF","Cash Flow",,
"C","CF","Car Finder",,
"C","CFK","Carbonfaserverstärkter Kunststoff	",,
"C","CFO","Chief Financial Officer",,
"C","CFP","Composite Friction Pin (""Reibnageln"")",,
"C","CFR","Code of Federal Regulations",,
"C","CFR","China freiwillige Zertifizierung",,
"C","CFT","Crossfunktionales Team",,
"C","CFU","Cash-Flow-Umsatzrate",,
"C","CGR","CATIA Graphical Representation, Datenformat der Firma Dassault Systèmes für tesselierte Daten",,
"C","cGW","Connected Gateway",,
"C","CHMSL","Centre High-Mounted Stop Light",,
"C","CI","Corporate Identity",,
"C","CI","Configuration Item",,
"C","CICS","Customer Information Control System",,
"C","CID","Center Information Display",,
"C","CIF","Cost, Insurance and Freight",,
"C","City ANB","City Autonome Not-Bremsung","bei Geschwindigkeiten < 30 km/h",
"C","CKD","completely knocked down (höchster Zerlegungsgrad)	",,
"C","CL","Closed Loop",,
"C","CL","Clinchen",,
"C","Cloud (Computing)	",,"Daten werden nicht auf eigenem Rechner sondern auf  Servern (weltweit) gespeichert",
"C","Cluu","Standard-Business-Plattform für webbasierte Applikationen im PAG Entwicklungsbereich",,
"C","CMC","Charge Module Controller",,
"C","CMDB","Configuration Management Database","Im IT Service Management bezeichnet man mit CMDB eine Datenbank, welche zur Verwaltung, Dokumentation, Verknüpfung und Verfolgung von Konfigurationselementen von IT Services dient.","https://de.wikipedia.org/wiki/ITIL"
"C","CMMI","Capability Maturity Model Integration",,
"C","CMS","Content Management System	",,
"C","CMS","Crash-Management-System",,
"C","CMT","Cold Metal Transfer Schweißen",,
"C","CNC","Computerized Numerical Control	",,
"C","CNCA","China National Commission for Certificate & Accredication	",,
"C","CoB","Chairman of the Board",,
"C","COC","Certificate of Conformity",,
"C","COD","Cash on Delivery",,
"C","CoO","Cost of Ownership",,
"C","COO","Chief Operating Officer",,
"C","CO-OM","Controlling - Overhead Cost Management",,
"C","COP","Carry over Parts","Übernahmeteil",
"C","COP","Conformity of Production",,
"C","COP A","Carry over Parts A","Gleich- / Übernahmeteile ohne Modifikation",
"C","COP B","Carry over Parts B","Gleich- / Übernahmeteile mit geringerer Abweichung (Modifikation)",
"C","CO-PA","Controlling - Profitability Analysis	",,
"C","CO-PC","Controlling - Product Costing",,
"C","CoRE","Consistency Rule Engine",,
"C","COSVAM","Coalition of Small Volume Automobile Manufacturers",,
"C","CPS","Cycles per Second (Hertz)	",,
"C","CPS","Cassette Program Search",,
"C","CPT","Certified Porsche Technician",,
"C","CPU","Central Processing Unit	",,
"C","CR","Common-Rail (Einspritzung)	",,
"C","CRM","Customer Relationship Management",,
"C","CROSS","Car Retail Organisation Support System",,
"C","CRS","Child Restraint System",,
"C","CS","Club Sport",,
"C","CS","Core Services",,
"C","CSC","Corporate-Sourcing-Committee	",,
"C","CSC","Core Services Communication",,
"C","CSD","CCC Self-Declaration",,
"C","CSI","Customer Satisfaction Index	",,
"C","CSK","Customer Satisfaction Kreis",,
"C","CSM","Core Services Management",,
"C","CSMS","Cyber-Security-Management-System",,
"C","CST","Common-Sourcing-Team",,
"C","CT","Custom Tailoring",,
"C","CTA","Cross Traffic-Assist",,
"C","C-Teil","weniger wichtiges / niedrigwertiges / umsatzschwaches Teil, geringres Produktions- und Beschaffungsrisiko, Verbrauchsgut",,
"C","CTI","Computer Telephony Integration	",,
"C","CTM","C-Teilemanagement",,
"C","CU","Control Unit",,
"C","CV","Constant Velocity (joint)",,
"C","CV","Corner View",,
"C","CVA","California Vehicle Act",,
"C","CVB","Change-Validation-Board",,
"C","CVT","Continuous Variable Transmission	",,
"C","CVTip","Continuous Variable Transmission (Porsche)",,
"D","D2cD","Design-to-Continous-Deployment","E2E-Prozess: vom Design zur kontinuierlichen Produkteinführung",
"D","D2L","Delivery-to-Loyalty ","E2E-Prozess: von der Auslieferung bis zur Kundenloyalisierung ",
"D","DAB","Digitaler Audio Broadcasting","Digitalradio",
"D","DAE","Druckausgleichseinheit	",,
"D","DAL","Doors And Lights",,
"D","DAS","Datenaustauschserver (GlobalX)",,
"D","DAT","Deutsche Automobil Treuhand GmbH	",,
"D","Datenbrille","Smart Glasses",,
"D","DB","Datenbank",,
"D","DB","Deckungsbeitrag",,
"D","DB2","kommerzielle relationale Datenbank",,
"D","DBS","Dispositions-Sachbearbeiter-Schlüssel",,
"D","DBV","Druck-Begrenzungs-Ventil",,
"D","DC","Direct Current (Gleichstrom)",,
"D","DCA","Design-Check-Aufbau",,
"D","DCA","Design Check Aufbau",,
"D","DCM","Diagnostic Communication Manager (Hinweis: Software Modul)",,
"D","DCSR","Digital City Showroom",,
"D","DDB","Direct Dialog Bay - Direktannahme",,
"D","DE","Designentscheid","Lastenheft",
"D","DEF","Defrost",,
"D","DEF","Design-Erlebnis-Fahrten",,
"D","DEKRA	","Deutscher Kraftfahrzeug-Überwachungsverein",,
"D","DET","Datenendtermin",,
"D","DF","Designfreeze",,
"D","DFA","Digitaler Fahrzeugassisttent",,
"D","DFA","Design for Assembly  auch: Digitaler Fahrzeugassistent",,
"D","DFI","Benzindirekteinspritzung",,
"D","DFM","Design for Manufacturing",,
"D","D-Freigabe","Dispositionsfreigabe",,
"D","DFÜ","Daten-Fernübertragung",,
"D","DfV","Durchführungsverantwortlicher	",,
"D","DG","Debitorengutschrift",,
"D","DI","Direct Injection (Direkteinspritzung)",,
"D","DiagRA","Applikations- und Diagnosewerkzeug	",,
"D","DIALOGPlus","Menü-Service für Online-Anwendungssysteme im VW Konzern (z.B. für AVON)",,
"D","DID","Dealer Information Database	",,
,"Digital Storytelling",,"Das Verbreiten/ Erzählen einer ""Geschichte"" mit Hilfe  digitaler Medien",
"D","DIN","Deutsches Institut für Normung",,
"D","DIS","Driver Information System",,
"D","DIY","Do It Yourself",,
"D","DK","Diagnoseklasse",,
"D","DK","Drosselklappe",,
"D","DK","Dachkonsole",,
"D","DKA","Dynamisches Kundenaudit",,
"D","DKF","Dokumentation Kraftfahrwesen e. V.	","LINK FOLGT",
"D","DKG","Doppelkupplungsgetriebe",,
"D","DKI","Dekarbonisierungsindex",,
"D","DKM","Datenkontrollmodell",,
"D","DKY","Digital Key",,
"D","DL","Datenlogistik",,
"D","DL","Dauerlauf","LINK FOLGT",
"D","DL/I","Data Language / One (für Zugriff auf IMS-Datenbanken)",,
"D","DL24","Steuerungsdatei in der Produktion auf Teilenummer-Ebene",,
"D","DLP","Durchlaufplan",,
,"DLV","Dienstleistungsvergütung",,
"D","DLV","Dienstleistungsvereinbarung",,
"D","DLZ","Dienstleistungszentrum",,
"D","DLZ","Durchlaufzeit",,
"D","DME","Digitale Motorenelektronik",,
"D","D-Merkmal","Dokumentationspflichtiges Merkmal	",,
"D","DMI-Matrix","Durchführungsverantwortung-Mitarbeit-Information Matrix",,
"D","DML","Diagnose Maskierungsliste",,
"D","DMP","Digital Mobilitätsplattform",,
"D","DMS","Dealer Management System",,
"D","DMS","Document Management System	",,
"D","DMS","Dealer Maintenance Scheduling","deutsch = OTV",
"D","DMS","Dehnungsmessstreifen",,
"D","DMTL","Diagnose Modul Tank Leckage","Tankleckdiagnosesystem",
"D","DMU","Digital Mock-up","LINK FOLGT",
"D","DO","Devisenoption",,
"D","DOC","Diesel Oxidation Catalyst",,
"D","DOC","Declaration-of-Conformity",,
"D","DOHC","Double Overhead Camshaft",,
"D","DOM","Dealer Operations Manual",,
"D","DOS","Disk Operating System	",,
"D","DOT","Department of Transportation	",,
"D","DPF","Diesel Partikelfilter",,
"D","DPP","Digitale Produktions Plattform",,
"D","DPS","Digitales Planungssystem",,
"D","DPT","Digitaler Prototyp",,
"D","DQE","Driver Quality Evaluation",,
"D","DR","Design Review",,
"D","DRAM","Dynamic RAM",,
"D","DRS","Distributed Resource Service",,
"D","DSFA","Datenschutzfolgeabschätzung",,
"D","DSG","Direktschaltgetriebe",,
"D","DSGVO","Datenschutzgrundverordnung","Für den erweiterten europäischen Wirtschaftsraum beschlossene Verordnung zur einheitlichen Regelungen von Gesetzmäßigkeiten rund um das Thema Datenschutz. Seit 25.05.2018 rechtskräftig.",
,"DSI","Display Serial Interface","Digitale Schnittstelle zur Anbindung von Displays",
"D","DSN","Diagnose-Software-Nummer. Die Version der Diagnosefunktionalität eines Steuergeräts",,
"D","DSP","Digital Sound Processing",,
"D","DSV","Datensatzverwaltung",,
"D","DTC","Dynamic Traction Control",,
"D","DTC","Diagnostic Trouble Code",,
"D","DtC","Design to Cost",,
"D","DTD","Document Type Definition",,
"D","D-Teil","Bauteil mit dokumentationspflichtigen Merkmalen",,
"D","DTI","Destination and Tour Import",,
"D","DTP","Desk Top Publishing",,
"D","DTS","Dachtransportsystem",,
"D","DUNS","DUNS-Nummer - Data Universal Numbering System: Zahlenschlüssel zur weltweiten, eindeutigen Identifizierung von Unternehmen. Die DUNS-Nummer wird vergeben durch D&B.",,"https://www.dnb.com/de-de/upik.html"
"D","DUT","Device under Test",,
"D","DV","Datenverarbeitung",,
"D","DV","Diagnosevorgaben",,
"D","DV","Dienstvertrag",,
"D","DV","Durchführungsverantwortung",,
"D","DVD","Digital Versatile Disk",,
"D","DVP","Dokumentenverwaltungsprogramm	",,
"D","DVS","Durchschnittlicher Verrechnungssatz",,
"D","DVT","Dienstvertrag",,
"D","DVT","Dienstvertragstätiger",,
"D","DVT","Dienstleistungsvertrag",,
"D","DWA","Diebstahlwarnanlage",,
"D","DWA","Diebstahl Warn Alert",,
"D","DWh","Data Warehouse",,
"D","DXF","Drawing Interchange File Format, Datenformat der Firma Autodesk zum Austausch von CAD-Daten",,
"D","DXM","	OpenDXM, Data Exchange Manager, entwickelt von der PROSTEP AG, CAx Datenaustausch Frontend bei Porsche",,
"D","DYC","Direct Yaw Control",,
"D","DYKO","Dynamische Kommissionierung",,
"D","DZ","Doppelzündung",,
"D","DZA","Digitales Zeichnungsarchiv","LINK FOLGT",
"E","E","Forschung und Entwicklung","LINK FOLGT ",
"E","E&L Vertrag","Entwicklungs- und Lieferantenvertrag",,
"E","E/A","Eingabe/Ausgabe",,
"E","E+L-Vertrag","Entwicklungs- und Liefervertrag",,
"E","E1","Cayenne 1. Generation",,
"E","E1 II","Cayenne 1. Generation Facelift",,
"E","E2","Cayenne 2. Generation",,
"E","E³","End-to-End-Elektronikarchitektur",,
"E","EA","Entwicklungsauftrag",,
