"Anfangsbuchstabe","Title","Begriff","Hinweis","Link"
"C","cAPW","Connected Aquaplaning Warner",,
"C","CAN","Controller Area Network",,
"C","CCB","Change Control Board",,
"C","CCL","Communication Control Layer",,
"C","CCP","CAN Calibration Protocol",,
"C","CCU","Clutch Control Unit",,
"C","CDC","Compact Disc Changer",,
"C","CDR","Compact Disc Radio (z.B. Porsche CDR31)",,
"C","CEG","Comfort Entry & Go entspricht SG PAS (Basis & Max.) im 9x7",,
"C","CGS","Charisma und Gear Switch",,
"C","CMC 1-n","Cell Module Controller (Batteriemodul) 1-n",,
"C","COP","Carry Over Part (Fremd-Übernahmeteil)",,
"C","CU","Control Unit (Steuergerät)",,
"D","DBE","Dachbedieneinheit",,
"D","DC/AC","Rechteck-Wechselrichter für Netzsteckdose 100V-230V",,
"D","DC/DC 400V","DCDC-Wandler (Spannungswandler für Elektroantrieb)",,
"D","DC/DC 48V","DCDC-Wandler 48V",,
"D","DK","Dachkonsole",,
"D","DME","Digitale Motorelektronik",,
"D","DMTL","Diagnose Modul Tank Leakage (Tank-Leckerkennung)",,
"D","DSP","Soundsystem, Verstärker",,
"D","DTC","Diagnostic Trouble Code (Fehlerspeichereintrag)",,
"D","DVD Changer","DVD-Changer",,
"D","DWA","Diebstahl Warnanlage",,
"E","eABC","electronic Active Body Control",,
"E","eAWS","elektrische Aktive Wankstabilisierung",,
"E","EBKV","Elektronischer Bremskraftverstärker",,
"E","eBooster","Elektrischer Verdichter, elektrischer Turbolader",,
"E","EC-Spiegel","Elektrochromatischer Spiegel",,
"E","ECU","Electrical Control Unit (Steuergerät)",,
"E","EDR+","Event Data Recorder",,
"E","eEM","Elektrisches Energiemanagement",,
"E","EFP","Elektronische Fahrwerk Plattform: 6D-Sensorik, Dämpfer, ggf. Luftfeder (nicht A4, A5), ggf. eTorquevectoring (B9 PHEV), ggf. eABC (nur D5)",,
"E","EGS","Elektronischer Gangsteller",,
"E","EHC","Electro Hydraulic Combibrake",,
"E","EKat","Kat",,
"E","EKK 400V","El. Klimakompressor",,
"E","EKP","Elektrische Kraftstoffpumpe",,
"E","ELV","El. Lenksäulen Verriegelung",,
"E","EMA","Elektromotorischer Gurtaufroller",,
"E","EPB MSB","Elektronische Parkbremse",,
"E","EPHS","Elektrohydraulische Servolenkung",,
"E","EPS","Electronic Power Steering",,
"E","E-Sound","Aussensoundaktuatoren (Hybrid)",,
"E","ESC","Electronic Stability Control (siehe ESP)",,
"E","ESP","Elektronisches Stabilitätsprorgramm mit integrierter Elektronischer Parbremse (EPB)",,
"E","EVLS","El. Verstellung Lenksäule",,
"E","EWS","Energiewandler System",,
"E","ExBox","Navigations-Lösung für Südkorea",,
"E","EXV 1-2","Kältekreisexpansionsventile 1-3",,
"E","EZS","Elektronisches Zündschloß",,
"F","FAM","Fahrzeugarchitekturmappe",,
"F","FEP","Fahrzeugentwicklungsprozess",,
"F","FER_Master","Frontradar Master für die Funktion Stadtassistent",,
"F","FER_Slave","Frontradar Slave für die Funktion Stadtassistent",,
"F","FFB","Funkempfänger für Standheizung",,
"F","FFP","Aktives Fahrpedal",,
"F","FL","Facelift",,
"F","FLA","Fernlichtassistent",,
"F","FSA","Feuchte Sensor Außen",,
"F","FSW","Frontscheibenwandler",,
"F","Funkempfänger","Funkempfänger für Standheizung",,
"G","Gateway","Zentrales Fahrzeuggateway",,
"G","GDS","Großdach-System",,
"G","Gebl. BLDC","Gebläseregler Vorn",,
"G","Gebl. BLDC Fo","Gebläse Fond",,
"G","Gen","Generator",,
"G","GPM","Gaspedalmodul",,
"G","GRA","Geschwindigkeitsregelanlage (Tempomat)",,
"G","GWS","Gewichtssensierung",,
"H","HAL","Hinterachslenkung",,
"H","HAQ","Hinterachsquersperre",,
"H","HD_MxB_SG li","Porsche HD Matrix Beam",,
"H","HD_MxB_SG re","Porsche HD Matrix Beam",,
"H","HDSG","Heckdeckel-Steuergerät",,
"H","High-End-Sound PAG","Verstärker, PAG Burmester",,
"H","HSB","Hauptsicherungsbox",,
"H","HSP","Heckspoiler",,
"H","HUD","Headup-Display",,
"H","HU Entry","Entry Headunit CDR 31",,
"H","HU High","High End Headunit PCM 3.1",,
"I","IBS","Integrierter Batteriesensor",,
"I","iEZS PAG","Elektonisches ZündSchloss",,
"I","IL","Interaction Layer",,
"I","ILF","Intelligente Ladefunktionen",,
"I","INRUE_NGS","Innenraumüberwachung / Neigungssensor",,
"I","InsErk","Sitzbelegungserkennung (nur NAR)",,
"I","Ionisator_hl","Ionisator",,
"I","Ionisator_hr","Ionisator",,
"I","Ionisator_vl","Ionisator",,
"I","Ionisator_vr","Ionisator",,
"I","IPA","Intelligent Park Assist: Rangier-Assistent mit Parklenkassistent (PLA)",,
"I","IRÜ","Innenraumüberwachung",,
"I","IVB","Intelligenter Ventilblock",,
"K","KBA-System","Kamerabasiertes Assistenzsystem",,
"K","KJS1-4","Steuerbarer Kühlerlüftereintritt 01-04 (Kühlerjalousie)",,
"K","Klappen 1-7","Klappenstellantriebe Fond",,
"K","Klima_MSB","Klima Vorn",,
"K","KLR","kapazitives Lenkrad",,
"K","KLSM","Kombi Lenkstockmodul (auch SMLS)",,
"K","KMDS1","Drucksensor",,
"K","Kombi PAG","Kombi",,
"K","Kompressor","Kompressor für Luftfederung",,
"K","KoVoMo","Konzern V8 Otto-Motor",,
"K","KRH","Kopfraumheizung",,
"K","KTA","Kernteam Architektur",,
"K","KTM","Klima-Thermomanagement",,
"K","Kühlerjalousie","Steuerbarer Kühlerlüftereintritt (Kühlerjalousie)",,
"K","KWS","Knickwinkelsensor",,
"L","Laser Scan.","Laser scanner",,
"L","LCM_L","Light Control Module links",,
"L","LCM_R","Light Control Module rechts",,
"L","LDS","Lichtdrehschalter",,
"L","LDW","Lane Departure Warning (Spurwechselassistent)",,
"L","LE","Leistungselektronik Hybrid",,
"L","LED_li","LED-SG für Hauptlichfunktionen",,
"L","LED_re","LED-SG für Hauptlichfunktionen",,
"L","LEH","Leistungselektronik Hybrid",,
"L","Leichtbausitz_BFS","Leichtbausitz",,
"L","Leichtbausitz_FS","Leichtbausitz",,
"L","Leimo","Leistungsmodul",,
"L","LEIMO_gLW_li","Leistungsmodul für Audi Frontlighting System links",,
"L","LEIMO_gLW_re","Leistungsmodul für Audi Frontlighting System rechts",,
"L","LGI","Lokale Gefahren Information",,
"L","LIM","Innenlichtmodul",,
"L","LIN","Local Interconnect Network",,
"L","LLR1-4_li","Steuergerät f. Sitzlüftung (LIN Lüftungs Regler) 1-4 (viermal verbaut pro Sitz)",,
"L","LLR1-4_re","Steuergerät f. Sitzlüftung (LIN Lüftungs Regler) 1-4 (viermal verbaut pro Sitz)",,
"L","LoGeWa","Lokale Gefahrenwarnung",,
"L","LSS","Lenkstockhalter (siehe KLSM)",,
"L","LTM","Lichttreiber Modul",,
"L","Lüftgütesensor","Multifunktionssensor für Luftfeuchte/Luftgüte (Air Quality Sensor und Aussenfeuchtesensor)",,
"L","LWL","Lichtwellenleiter",,
"L","LWR","Leuchtweitenregulierung",,
"L","LWS","Lenkwinkelsensor",,
"M","MEM","Sitzmemory",,
"M","MEMBS","Memomry Beifahrersitz",,
"M","MEMFS","Memory Fahrersitz",,
"M","MFB_HBFS","Massagefernbedienung Ruhesitz hinten rechts",,
"M","MFG","Multifunktionsgerät",,
"M","MFL","Multifunktionslenkrad",,
"M","MHEV","Mild Hybrid Vehicle",,
"M","MJ","Modeljahr",,
"M","MKLF_MSB","Ansteuereinheit Mehrkammerluftfeder",,
"M","MMI","Mensch Maschine Interface (engl. HMI Human Machine Interface)",,
"M","MoPf","Modelpflege",,
"M","MOST","Media Oriented System Transport",,
"M","Motor","Motorsteuergerät",,
"M","Motor2","Motorsteuergerät 2 (nur bei V8TDI)",,
"M","MPC","Multi Purpose Camera",,
"M","MRR","Midrange Radar",,
"M","MSG","Motorsteuergerät",,
"M","MTF-Pumpe","Manual Transmission Fluid-Pumpe (für DL382)",,
"M","MuFu_MSB","Multifunktionssensor für Luftfeuchte/Luftgüte (Air Quality Sensor und Aussenfeuchtesensor)",,
"N","NGS","Neigungsgeber",,
"N","NIP","Network Integration Package",,
"N","NM","Netzwerkmanagement",,
"N","NMH","Netzwerkmanagement High",,
"N","NOX","Steuergerät f. Reduktionsmittel-Dosiersystem",,
"N","NPM","Netzwerk Power Management",,
"N","NV","Steuergerät f. Nachtsichtsystem",,
"O","OBC 7.2kW","Ladeelektronik (On Board Charger)",,
"O","OBD","On Board Diagnostic",,
"O","Occupant Cla.","Occupant Classification",,
"O","ODX","Open Diagnostic Exchange",,
"O","OEM","Original Equipment Manufacturer",,
"O","OPF","Optical Plastic Fibre",,
"O","ORVR","Onboard Refueling Vapor Recovery (Kraftstoffrückführung im Fahrzeug für verdampftes, zerstäubtes Benzin beim Betanken)",,
"O","OSEK","Offene Systeme und deren Schnittstellen für die Elektronik im Kfz",,
"P","PACCh","Predective ACC high",,
"P","PADM","PorscheActiveDrivetrainMount - Dynamische Aggregatelagerung",,
"P","PAS","Porsche Access System (Fahrer ID, Kessy)",,
"P","PASG","Porsche Antriebssteuergerät",,
"P","PASM","Porsche Active Suspension Management Damptronic",,
"P","PCCB","Porsche Ceramic Composite Break (Kohlefasterverstärkte Keramik-Bremsscheibe)",,
"P","PCCC","Porsche Ceramic Composite Clutch (Zweischeibentrockenkupplung aus kohlefaserverstärkter Keramik)",,
"P","PCCM","Porsche Classic Communication Management (DIN1 Gerät)",,
"P","PCCM Plus","Porsche Classic Communication Management Plus (DIN2 Gerät)",,
"P","PDC","Park Distance Control",,
"P","PDCC","Porsche Dynamic Chassis Control (auch AAK)",,
"P","PDK","Porsche Doppelkupplungsgetriebe",,
"P","PDKit II","Getriebe",,
"P","PEA","Prädiktiver Effizienz-Assistent",,
"P","PEM","Prädiktives Energiemanagement",,
"P","PEP","Produktentwicklungsprozess",,
"P","PEPP","Porsche Electrical Personal Profile",,
"P","PHEV","Plugin Hybrid Electric Vehicle",,
"P","PIDT","Porsche integrierter Diagnose Tester",,
"P","PIWIS","Porsche integriertes Werkstatt Informationssystem",,
"P","PKO","Prozess Kosten Optimierung",,
"P","PLA","Parklenkassistent",,
"P","PLG","Powerliftgate (auch Heckdeckel SG)",,
"P","PLTL","Projektleiter/Teamleiter",,
"P","PM","Partikelsensor",,
"P","PNC","Partial Network Cluster",,
"P","POS","Point of sale (Verkaufsstart)",,
"P","PPO","Porsche Prozess Optimierung",,
"P","Premium-Sound","Audioverstärker Premium Soundsystem, BOSE in PAG",,
"P","PSM","Porsche Stabilty Management (siehe ESP)",,
"P","pT_Sens 1-4","Druck- Temperatur Sensoren 1-4",,
"P","PTC 1500W","Zuheizer 12V",,
"P","PTC 400V","PTC Heizelement 400V",,
"P","PTC_1500W","PTC Heizelement 1500W",,
"P","PTC_48V","PTC Heizelement 48V",,
"P","PTS","Prototypenstückliste",,
"P","PTT","Push to talk",,
"P","PWG","Pedalwertgeber",,
"Q","Q-Sport","Quattro Sport",,
"Q","Quersperre","Quersperrensteuerung",,
"R","RDK","Reifendruckkontrolle",,
"R","Rearview","Steuergerät f. Rückfahrkamera",,
"R","RFK","Rückfahrkamera (auch RearView)",,
"R","RGS_BFS","Reversibler Gurtstraffer Beifahrer",,
"R","RGS_FS","Reversibler Gurtstraffer Fahrer",,
"R","RLF","Regen-/Licht-/Feuchtesensor",,
"R","RLFSI","Multifunktionssensor: Regen-Licht und Feuchte innen",,
"R","RLS","Regen-Licht-Sensor",,
"R","RSE","Rear-Seat-Entertainment",,
"R","RSE Bedienung","Rear-Seat-Entertainment Bedienteil",,
"R","RSE Display li","Rear-Seat-Entertainment Display",,
"R","RSE Display re","Rear-Seat-Entertainment Display",,
"R","RSG_48V","Riemenstartergenerator",,
"R","RTA","Reifentemperaturanzeige",,
"S","SAD","Schiebeausstelldach",,
"S","SAK","Soundaktuator innen",,
"S","SAK2","Aussensoundaktuator",,
"S","SARA","Sensor Array",,
"S","SBM_HL","Sitzbedienmodul hinten links",,
"S","SBM_HR","Sitzbedienmodul hinten rechts",,
"S","SC","Safety Computer",,
"S","SCC1","Smart Control Carrier links, Träger für das Smart Control",,
"S","SCC2","Smart Control Carrier rechts, Träger für das Smart Control",,
"S","Schalterleiste_1","LIN-Schalterleiste",,
"S","Schalterleiste_2","LIN - Schalterleiste 2 (Vorhalt aktuell für Touareg)",,
"S","SCR","Selective Catalytic Reduction (Harnstoff-Steuergerät)",,
"S","SCU","Steering Control Unit",,
"S","SDC1","Smart Display Carrier rechts, Anzeige-/Bedieneinheit hinten rechts",,
"S","SDC2","Smart Display Carrier links, Anzeige-/Bedieneinheit hinten links",,
"S","SG","Steuergerät",,
"S","SH","Sitzheizung",,
"S","SH hinten PAG","Sitzheizung Hinten PAG",,
"S","Sitzbelegung","Sitzbelegungserkennung (nur NAR)",,
"S","SitzMem_BFS","Memory (Sitzsteuergerät) Beifahrer",,
"S","SitzMem_FS","Memory (Sitzsteuergerät) Fahrer",,
"S","SitzMem_HBFS","Memory (Sitzsteuergerät) hinten rechts",,
"S","SitzMem_HFS","Memory (Sitzsteuergerät) hinten links",,
"S","SLR","Sitzlüftungsregler",,
"S","SMLS","Schaltermodul Lenksäule",,
"S","SMT","Softing MessTechnik",,
"S","Sonderfahrzeug-SG","Steuergerät für Sonderfahrzeuge (z.B. Fahrhilfe, Notarzt, Behörde, Kommandowagen Feuerwehr etc.)",,
"S","Sonnensensor 3D","Sonnensensor 3D",,
"S","SOP","Start of production",,
"S","Sounder","Sounder",,
"S","Spinelaktuator","Clutch Control Unit",,
"S","SpoilerSG","Ansteuerung des Heckspoilers abhängig von Fahrgeschwindigkeit/Fahrprogramme/ASD",,
"S","SPR_li","Sitz Pneumatik Regler",,
"S","SPR_re","Sitz Pneumatik Regler",,
"S","SSC","Sensorcluster (im 9x7 Drehratensensor) / Standard Software Code der Volkswagen AG",,
"S","SSP","Porsche Standard Software Plattform",,
"S","SST","Start-/Stopptaster",,
"S","SSW","Standard Software",,
"S","St. Klimagerät","Stellantriebe Klimagerät",,
"S","STH","Standheizung",,
"S","SU","Stoppuhr",,
"S","SWA","Spurwechselassistent",,
"S","SWA Slave","Spurwechselassistent Slave",,
"S","SWL_L","Seitenwandleuchte links",,
"S","SWL_R","Seitenwandleuchte rechts",,
"S","SWP","Nassarmsteuergerät",,
"S","SWSG","Scheinwerfersteuergerät",,
"T","TBAD","Testbasis Abstimmungsdokument",,
"T","TCH","Thermo Cup Holder",,
"T","TE","Trunk Entrapment",,
"T","TME","Thermomanagement Elektrofahrzeuge",,
"T","TNB","Teilnetzbetrieb",,
"T","Topview","Topview",,
"T","TP","Transportprotokoll",,
"T","TSG_BFS","Türsteuergerät Beifahrerseite",,
"T","TSG_FS","Türsteuergerät Fahrerseite",,
"T","TSG_HL","Türsteuergerät hinten links",,
"T","TSG_HR","Türsteuergerät hinten rechts",,
"T","TSK","Triebstrangkoordinator",,
"T","TSR","Traffic Sign Recognition (Verkehrzeichenerkennung)",,
"T","TSS","Tire Safety System (auch RDK)",,
"T","TSZ","Türschließzylinder",,
"T","TTP","Time Triggered Protocal",,
"T","TV-Tuner","TV-Tuner",,
"U","UDS","Unified Diagnostic Services",,
"U","UGDO_Bedienteil","Universal Garage Door Opener Bedienteil",,
"U","UGDO_Sender","Universal Garage Door Opener Sender",,
"U","UIF","Unbelüfteter Innenraumfüller",,
"U","USB","Universal Serial Bus",,
"V","VAP","Vorstand Ausschuß Produkte",,
"V","VBV","Verbauvorschrift",,
"V","VCI","Vehicle Communication Interface (Bus Interface)",,
"V","VDS","Verdeck-Steuergerät",,
"V","VeNED","Vehicle Network Error Database",,
"V","VeNIS","Vehicle Network Information System",,
"V","Ventile1-3_BF","Pneumatik Ventilblöcke 1-3 im Sitz",,
"V","Ventile1-3_FA","Pneumatik Ventilblöcke 1-3 im Sitz",,
"V","Ventile1-3_HBFS","Pneumatik Ventilblöcke 1-3 im Sitz",,
"V","Ventile1-3_HFS","Pneumatik Ventilblöcke 1-3 im Sitz",,
"V","VIP","Virtuelles Pedal: Steuergerät f. Heckklappenöffnung",,
"V","VLWR","Verkehrsabhängige Leuchtweitenregulierung",,
"V","VSDE","Vector System Description Extension",,
"V","VSG","Verdeck-Steuergerät",,
"V","VSS","Vorausschauender Sicherheitssensor",,
"V","VSS (PMD)","Vorausschauender Sicherheitssensor",,
"V","VTS","Vehicle Tracking System",,
"W","WAW","Windabweiser",,
"W","Wählhebel","Wählhebel",,
"W","WFS","Wegfahrsperre",,
"W","WiFe","Wickelfeder",,
"W","WLC","Koppelantenne mit drahtloser Ladung für mobile Geräte",,
"W","WUVT 1-7","Wasserumschaltventile 1-7",,
"W","WWS","Wischwinkelsteuerung",,
"X","XCP","Extended Calibration Protocol",,
"X","Xenon_VSG_li","Xenon VorSchaltGerät",,
"X","Xenon_VSG_re","Xenon VorSchaltGerät",,
"Z","ZAB","Zentrale Anzeige- und Bedieneinheit",,
"Z","ZBE","Zentrale Bedieneinheit",,
"Z","ZFAS","Zentrales Fahrassistenz Steuergerät",,
"Z","ZR","Zentralrechner Infotainment",,
"Z","Zusatzinstrument PAG","Zusatzinstrument (Uhr, Stoppuhr, Kompass)",,
"Z","ZV","Zentralverriegelung",,
